type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,05395P,旺宏元大96售06,TW19Z05395P3,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053960,晶技永豐96購02,TW19Z0539609,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053961,揚明光永豐96購04,TW19Z0539617,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053962,聯茂永豐96購01,TW19Z0539625,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053963,百和永豐96購01,TW19Z0539633,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053964,上銀元大96購05,TW19Z0539641,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053965,聯電元大98購04,TW19Z0539658,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053966,旺宏元大96購08,TW19Z0539666,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053967,華邦電元大96購03,TW19Z0539674,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053968,華邦電元大97購01,TW19Z0539682,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053969,瑞昱元大97購01,TW19Z0539690,2019/12/23,上市,,RWSCCA
上市認購(售)權證,05396P,台郡元大95售05,TW19Z05396P1,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053970,聯發科元大97購08,TW19Z0539708,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053971,聯發科元大97購09,TW19Z0539716,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053972,華新科元大96購06,TW19Z0539724,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053973,晶豪科元大96購01,TW19Z0539732,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053974,大立光元大96購10,TW19Z0539740,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053975,大立光元大98購04,TW19Z0539757,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053976,亞光元大96購02,TW19Z0539765,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053977,新日興元大96購03,TW19Z0539773,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053978,創意元大96購05,TW19Z0539781,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053979,健策元大98購01,TW19Z0539799,2019/12/23,上市,,RWSCCA
上市認購(售)權證,05397P,大立光凱基96售08,TW19Z05397P9,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053980,泰鼎元大97購02,TW19Z0539807,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053981,康控元大96購05,TW19Z0539815,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053982,臻鼎元大96購05,TW19Z0539823,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053983,樺漢元大97購02,TW19Z0539831,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053984,康友元大96購05,TW19Z0539849,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053985,矽創元大96購02,TW19Z0539856,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053986,矽創第一96購01,TW19Z0539864,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053987,宏碁亞東96購01,TW19Z0539872,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053988,友達亞東96購01,TW19Z0539880,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053989,奇力新兆豐97購01,TW19Z0539898,2019/12/24,上市,,RWSCCA
上市認購(售)權證,05398P,康控國票96售03,TW19Z05398P7,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053990,晶技兆豐96購01,TW19Z0539906,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053991,鴻海群益96購05,TW19Z0539914,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053992,中環群益96購01,TW19Z0539922,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053993,旺宏群益98購02,TW19Z0539930,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053994,微星群益96購01,TW19Z0539948,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053995,奇力新群益97購02,TW19Z0539955,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053996,晶相光群益97購01,TW19Z0539963,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053997,健策群益97購02,TW19Z0539971,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053998,泰鼎群益98購01,TW19Z0539989,2019/12/24,上市,,RWSCCA
上市認購(售)權證,053999,台表科群益96購06,TW19Z0539997,2019/12/24,上市,,RWSCCA
上市認購(售)權證,05399P,GIS國票95售03,TW19Z05399P5,2019/11/25,上市,,RWSCPE
上市認購(售)權證,054000,訊芯群益96購02,TW19Z0540003,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054001,康友群益96購02,TW19Z0540011,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054002,GIS群益96購03,TW19Z0540029,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054003,鴻海統一96購13,TW19Z0540037,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054004,鴻海統一96購14,TW19Z0540045,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054005,旺宏統一97購04,TW19Z0540052,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054006,智易統一97購01,TW19Z0540060,2019/12/24,上市,,RWSCCA
